"No.","Time","Source","Destination","Protocol","Length","Info"
"16906","58.046971","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2057 [PSH, ACK] Seq=3098556 Ack=22838 Win=249600 Len=1240"
"16977","59.234440","40.79.141.154","192.168.2.103","TCP","158","443  >  2075 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"17376","61.399280","57.150.97.97","192.168.2.103","TCP","146","[TCP Dup ACK 17375#1] 443  >  2077 [ACK] Seq=7810 Ack=2713 Win=12583424 Len=0"
"17568","63.724661","142.250.190.42","192.168.2.103","TCP","146","[TCP Dup ACK 17567#1] 443  >  2057 [ACK] Seq=3102649 Ack=24771 Win=247808 Len=0"
"17674","67.646570","142.250.190.42","192.168.2.103","TCP","1386","443  >  2065 [PSH, ACK] Seq=1501806 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17685]"
"17782","67.664381","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [ACK] Seq=1548926 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17783","67.664387","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [PSH, ACK] Seq=1550166 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17792","67.665211","142.250.190.42","192.168.2.103","TCP","1386","443  >  2065 [ACK] Seq=1551406 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17794","67.667691","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [ACK] Seq=1552646 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17795","67.667694","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [PSH, ACK] Seq=1553886 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17796","67.667697","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [ACK] Seq=1555126 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17797","67.667701","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [ACK] Seq=1556366 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17799]"
"17842","67.678564","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [ACK] Seq=1588606 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17844]"
"17843","67.678568","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [ACK] Seq=1589846 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17844]"
"17853","67.678603","142.250.190.42","192.168.2.103","TCP","1394","443  >  2065 [PSH, ACK] Seq=1602246 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17903","67.691665","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1634486 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17904","67.691668","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [PSH, ACK] Seq=1635726 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17905","67.691671","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1636966 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17906","67.691674","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1638206 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17907","67.691677","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [PSH, ACK] Seq=1639446 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17908","67.691681","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1640686 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17909","67.691684","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1641926 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17910","67.691688","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [PSH, ACK] Seq=1643166 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17911","67.691691","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1644406 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
"17913","67.695035","142.250.190.42","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2065 [ACK] Seq=1645646 Ack=5442 Win=265216 Len=1240 [TCP PDU reassembled in 17923]"
